Time [s],Value,Parity Error,Framing Error
39.786585166666669,' ' (0x20),,
39.786705249999997,'0' (0x00),,
39.786825250000000,'1' (0x01),,
39.786945333333335,'8' (0x08),,
39.787065333333331,@ (0x40),,
39.787185333333333,'0' (0x00),,
39.787305416666669,'2' (0x02),,
39.787425416666665,'16' (0x10),,
39.787545500000000,'128' (0x80),,
39.787665500000003,'0' (0x00),,
39.787785583333331,'20' (0x14),,
39.799899750000002,'15' (0x0F),,
39.800019749999997,'2' (0x02),,
39.800139833333333,$ (0x24),,
39.800259833333335,'224' (0xE0),,
39.800379916666664,'231' (0xE7),,
39.800499916666666,'4' (0x04),,
39.800620000000002,'8' (0x08),,
39.800739999999998,j (0x6A),,
39.800860083333333,'0' (0x00),,
39.800980083333336,'2' (0x02),,
39.801100166666664,'16' (0x10),,
39.801220166666667,'128' (0x80),,
39.801340250000003,'0' (0x00),,
39.801460249999998,'4' (0x04),,
39.801580333333334,' ' (0x20),,
39.801700333333336,'0' (0x00),,
39.801820416666665,'1' (0x01),,
39.801940416666667,'8' (0x08),,
39.802060500000003,@ (0x40),,
39.802180499999999,'0' (0x00),,
39.802300583333334,'2' (0x02),,
39.802420583333337,'16' (0x10),,
39.802540666666665,'128' (0x80),,
39.802660666666668,'0' (0x00),,
39.802780749999997,$ (0x24),,
39.814914916666666,'15' (0x0F),,
39.815034916666669,'2' (0x02),,
39.815154999999997,$ (0x24),,
39.815275000000000,'224' (0xE0),,
39.815395083333335,'231' (0xE7),,
39.815515083333331,'4' (0x04),,
39.815635166666667,'8' (0x08),,
39.815755166666669,j (0x6A),,
39.815875249999998,'0' (0x00),,
39.815995250000000,'2' (0x02),,
39.816115333333336,'16' (0x10),,
39.816235333333331,'128' (0x80),,
39.816355416666667,'0' (0x00),,
39.816475416666670,'4' (0x04),,
39.816595499999998,' ' (0x20),,
39.816715500000001,'0' (0x00),,
39.816835583333337,'1' (0x01),,
39.816955583333332,'8' (0x08),,
39.817075666666668,@ (0x40),,
39.817195666666670,'0' (0x00),,
39.817315749999999,'2' (0x02),,
39.817435750000001,'16' (0x10),,
39.817555833333330,'128' (0x80),,
39.817675833333332,'0' (0x00),,
39.817795916666668,4 (0x34),,
39.829920083333334,'15' (0x0F),,
39.830040083333330,'2' (0x02),,
39.830160166666666,$ (0x24),,
39.830280166666668,'224' (0xE0),,
39.830400249999997,'231' (0xE7),,
39.830520249999999,'4' (0x04),,
39.830640333333335,'8' (0x08),,
39.830760333333330,j (0x6A),,
39.830880416666666,'0' (0x00),,
39.831000416666669,'2' (0x02),,
39.831120499999997,'16' (0x10),,
39.831240500000000,'128' (0x80),,
39.831360583333336,'0' (0x00),,
39.831480583333331,'4' (0x04),,
39.831600666666667,' ' (0x20),,
39.831720666666669,'0' (0x00),,
39.831840749999998,'1' (0x01),,
39.831960750000000,'8' (0x08),,
39.832080833333336,@ (0x40),,
39.832200833333332,'0' (0x00),,
39.832320916666667,'2' (0x02),,
39.832440916666670,'16' (0x10),,
39.832560999999998,'128' (0x80),,
39.832681000000001,'0' (0x00),,
39.832801083333337,'4' (0x04),,
39.834951833333335,'3' (0x03),,
39.835071833333330,'192' (0xC0),,
39.835191916666666,+ (0x2B),,
39.844925250000003,'15' (0x0F),,
39.845045249999998,'2' (0x02),,
39.845165333333334,$ (0x24),,
39.845285333333337,'224' (0xE0),,
39.845405416666665,'231' (0xE7),,
39.845525416666668,'4' (0x04),,
39.845645500000003,'8' (0x08),,
39.845765499999999,j (0x6A),,
39.845885583333335,'0' (0x00),,
39.846005583333330,'2' (0x02),,
39.846125666666666,'16' (0x10),,
39.846245666666668,'128' (0x80),,
39.846365749999997,'0' (0x00),,
39.846485749999999,'4' (0x04),,
39.846605833333335,' ' (0x20),,
39.846725833333331,'0' (0x00),,
39.846845916666666,'1' (0x01),,
39.846965916666669,'8' (0x08),,
39.847085999999997,@ (0x40),,
39.847206000000000,'0' (0x00),,
39.847326083333336,'2' (0x02),,
39.847446083333331,'16' (0x10),,
39.847566166666667,'128' (0x80),,
39.847686166666669,'0' (0x00),,
39.847806249999998,'20' (0x14),,
39.859930416666664,'15' (0x0F),,
39.860050416666667,'2' (0x02),,
39.860170500000002,$ (0x24),,
39.860290499999998,'224' (0xE0),,
39.860410583333334,'231' (0xE7),,
39.860530583333336,'4' (0x04),,
39.860650666666665,'8' (0x08),,
39.860770666666667,j (0x6A),,
39.860890750000003,'0' (0x00),,
39.861010749999998,'2' (0x02),,
39.861130833333334,'16' (0x10),,
39.861250833333337,'128' (0x80),,
39.861370916666665,'0' (0x00),,
39.861490916666668,'4' (0x04),,
39.861611000000003,' ' (0x20),,
39.861730999999999,'0' (0x00),,
39.861851083333335,'1' (0x01),,
39.861971083333330,'8' (0x08),,
39.862091166666666,@ (0x40),,
39.862211166666668,'0' (0x00),,
39.862331249999997,'2' (0x02),,
39.862451249999999,'16' (0x10),,
39.862571333333335,'128' (0x80),,
39.862691333333331,'0' (0x00),,
39.862811416666666,$ (0x24),,
39.874935583333333,'15' (0x0F),,
39.875055583333335,'2' (0x02),,
39.875175666666664,$ (0x24),,
39.875295666666666,'224' (0xE0),,
39.875415750000002,'231' (0xE7),,
39.875535749999997,'4' (0x04),,
39.875655833333333,'8' (0x08),,
39.875775833333336,j (0x6A),,
39.875895916666664,'0' (0x00),,
39.876015916666667,'2' (0x02),,
39.876136000000002,'16' (0x10),,
39.876255999999998,'128' (0x80),,
39.876376083333334,'0' (0x00),,
39.876496083333336,'4' (0x04),,
39.876616166666665,' ' (0x20),,
39.876736166666667,'0' (0x00),,
39.876856250000003,'1' (0x01),,
39.876976249999998,'8' (0x08),,
39.877096333333334,@ (0x40),,
39.877216333333337,'0' (0x00),,
39.877336416666665,'2' (0x02),,
39.877456416666668,'16' (0x10),,
39.877576500000004,'128' (0x80),,
39.877696499999999,'0' (0x00),,
39.877816583333335,4 (0x34),,
39.889950749999997,'15' (0x0F),,
39.890070750000000,'2' (0x02),,
39.890190833333335,$ (0x24),,
39.890310833333331,'224' (0xE0),,
39.890430916666666,'231' (0xE7),,
39.890550916666669,'4' (0x04),,
39.890670999999998,'8' (0x08),,
39.890791000000000,j (0x6A),,
39.890911083333336,'0' (0x00),,
39.891031083333331,'2' (0x02),,
39.891151166666667,'16' (0x10),,
39.891271166666670,'128' (0x80),,
39.891391249999998,'0' (0x00),,
39.891511250000001,'4' (0x04),,
39.891631333333336,' ' (0x20),,
39.891751333333332,'0' (0x00),,
39.891871416666667,'1' (0x01),,
39.891991416666670,'8' (0x08),,
39.892111499999999,@ (0x40),,
39.892231500000001,'0' (0x00),,
39.892351499999997,'2' (0x02),,
39.892471583333332,'16' (0x10),,
39.892591583333335,'128' (0x80),,
39.892711666666663,'0' (0x00),,
39.892831666666666,'4' (0x04),,
39.894982416666664,'3' (0x03),,
39.895102500000000,'196' (0xC4),,
39.895222500000003,'0' (0x00),,
39.904945833333336,'15' (0x0F),,
39.905065916666665,'2' (0x02),,
39.905185916666667,$ (0x24),,
39.905306000000003,'224' (0xE0),,
39.905425999999999,'231' (0xE7),,
39.905546083333334,'4' (0x04),,
